,name,function,chain,date
1241,WooToken,Honeypot,BSC,
1242,SAFEMYANMAR,Honeypot,BSC,
1243,LiptonSWAP,Honeypot,BSC,
1244,ChainLab,Honeypot,BSC,
1245,Haas.Finance,Honeypot,BSC,
1246,Travel Consulting,Honeypot,BSC,
1247,SafeMaze,Honeypot,BSC,
1248,SafeJinx,Honeypot,BSC,
1249,NoxCommunications,Honeypot,BSC,
1250,NILONFINANCE,Honeypot,BSC,
1251,GripFinance,Honeypot,BSC,
1252,AutoAction Token,Honeypot,BSC,
1253,COCOS,Honeypot,BSC,
1254,CoilSwap,Honeypot,BSC,
1255,CrossASR,Honeypot,BSC,
1256,Humble,Honeypot,BSC,
1257,Farrow Token,Honeypot,BSC,
1258,Security Check Token,Honeypot,BSC,
1259,GanGnamChain,Honeypot,BSC,
1260,Tidal Finance,Honeypot,ETH,
1261,TROJAN,Honeypot,BSC,
1262,Virax Coin,Honeypot,BSC,
1263,GrillCoin,Honeypot,BSC,
1264,ShineFinance,Honeypot,BSC,
1265,RUGBOT,Honeypot,BSC,
1266,Arbitrage Bot,Honeypot,BSC,
1267,LaToken,Honeypot,BSC,
1268,EXTREME,Honeypot,BSC,
1269,Boson Token,Honeypot,ETH,
1270,SafeReason Token,Honeypot,BSC,
1271,SAFEBOT,Honeypot,BSC,
1272,ELONSAFE,Honeypot,BSC,
1273,SAFEBOZON,Honeypot,BSC,
1274,UBERMOON,Honeypot,BSC,
1275,SAFEDONNUT,Honeypot,BSC,
1276,NanoChain,Honeypot,BSC,
1277,NanoChain,Honeypot,BSC,
1278,Voodoo,Honeypot,BSC,
1279,Porto Token,Honeypot,BSC,
1280,Solid Swap Token,Honeypot,BSC,
1281,SAFEBUNNY,Honeypot,BSC,
1282,SAFEWAY,Honeypot,BSC,
1283,SpaceNix,Honeypot,BSC,
1284,AnyDEX,Honeypot,BSC,
1285,CORAL,Honeypot,BSC,
1286,SafeMario Bros Bsc,Honeypot,BSC,
1287,SafeQuasiStar,Honeypot,BSC,
1288,SAFEFISH,Honeypot,BSC,
1289,Builder Finance,Honeypot,BSC,
1290,SafePOODLE,Honeypot,BSC,
1291,WOK.FARM,Honeypot,BSC,
1292,Elon Rocket,Honeypot,BSC,
1293,SAFEWHALE,Honeypot,BSC,
1294,SAODWINDEXTOKEN,Honeypot,BSC,
1295,SAFUCOIN,Honeypot,BSC,
1296,BUNNY DAO,Honeypot,BSC,
1297,MonkeyDEX,Honeypot,BSC,
1298,SIXNETWORK,Honeypot,BSC,
1299,MoonAkita Inu,Honeypot,BSC,
1300,SAFERARI,Honeypot,BSC,
1301,Solstarter,Honeypot,BSC,
1302,BeverlyFiks,Honeypot,BSC,
1303,Instacoin,Honeypot,BSC,
1304,LapuntuToken,Honeypot,BSC,
1305,SafeStack,Honeypot,BSC,
1306,SafeRetro,Honeypot,BSC,
1307,SupHerbs,Honeypot,BSC,
1308,ASTROSTONKS,Honeypot,ETH,
1309,TeslaModelS Plaid,Honeypot,BSC,
1310,GGININDER,Honeypot,BSC,
1311,LETHE Token,Honeypot,BSC,
1312,NeverGonnaRugYouUp,Honeypot,BSC,
1313,FomoBaggins,Honeypot,BSC,
1314,DipBitcoin,Honeypot,BSC,
1315,IDEA Token,Honeypot,BSC,
1316,CleanEnergyToken,Honeypot,BSC,
1317,SAFEPUP TOKEN,Honeypot,BSC,
1318,Polkally,Honeypot,BSC,
1319,ELEPHANT,Honeypot,BSC,
1320,MONKEY,Honeypot,BSC,
1321,COOM,Honeypot,BSC,
1322,HAWK TOKEN,Honeypot,BSC,
1323,E-Coin,Honeypot,BSC,
1324,Starbase Launch Pad,Honeypot,BSC,
1325,YieldShiba.com,Honeypot,BSC,
1326,KodaRobotDog Token,Honeypot,BSC,
1327,Pinknode,Honeypot,BSC,
1328,PANKY TOKEN,Honeypot,BSC,
1329,mozik,Honeypot,BSC,
1330,LION,Honeypot,BSC,
1331,PirateElon,Honeypot,BSC,
1332,OliveOptions,Honeypot,BSC,
1333,PIKE TOKEN,Honeypot,BSC,
1334,ElonCash,Honeypot,BSC,
1335,TIGER,Honeypot,BSC,
1336,MoonChain,Honeypot,BSC,
1337,KreamPie,Honeypot,BSC,
1338,GIGABERLIN,Honeypot,BSC,
1339,TERA TOKEN,Honeypot,BSC,
1340,DogeStar,Honeypot,BSC,
1341,SHIBA BAG,Honeypot,BSC,
1342,SHIBA PLATINUM,Honeypot,BSC,
1343,SNAKE TOKEN,Honeypot,BSC,
1344,MoonDegenerates,Honeypot,BSC,
1345,JaguarMOON,Honeypot,BSC,
1346,MoonFly,Honeypot,BSC,
1347,Eloge Inu,Honeypot,ETH,
1348,FUCKELON,Honeypot,BSC,
1349,NOZOMI,Honeypot,BSC,
1350,Transaction Control Protocol,Honeypot,ETH,
1351,Akitoge Inu,Honeypot,ETH,
1352,MingHua,Honeypot,BSC,
1353,HuskyMoon,Honeypot,BSC,
1354,Moon Scatter,Honeypot,BSC,
1355,ELON INU,Honeypot,BSC,
1356,MILK TOKEN,Honeypot,BSC,
1357,DOGELD TRUMP,Honeypot,BSC,
1358,GEMROCKET,Honeypot,BSC,
1359,WOODEN Token,Honeypot,BSC,
1360,NEPTUNE Token,Honeypot,BSC,
1361,TokenFox,Honeypot,BSC,
1362,SafeMEME,Honeypot,BSC,
1363,YOOSHI,Honeypot,ETH,
1364,STARBOY,Honeypot,ETH,
1365,Dasani,Honeypot,BSC,
1366,SkyDog,Honeypot,BSC,
1367,CatzCoin,Honeypot,ETH,
1368,DogPoo,Honeypot,ETH,
1369,GoatCoin,Honeypot,BSC,
1370,GOATMOON,Honeypot,BSC,
1371,Alaskan,Honeypot,BSC,
1372,JindoInu,Honeypot,ETH,
1373,GDOGE,Honeypot,BSC,
1374,WhereLambo,Honeypot,BSC,
1375,KumaInu,Honeypot,BSC,
1376,GDRAGON,Honeypot,BSC,
1377,Faraland - Battle of Crystals,Honeypot,BSC,
1378,LuckyDoge,Honeypot,BSC,
1379,X1000 ONLY,Honeypot,BSC,
1380,SHIOGE INU,Honeypot,ETH,
1381,IRON TOKEN,Honeypot,BSC,
1382,AERION,Honeypot,BSC,
1383,KNIGHT TOKEN,Honeypot,BSC,
1384,T-Rex,Honeypot,BSC,
1385,SHIBACOIN,Honeypot,ETH,
1386,JAGUAR,Honeypot,BSC,
1387,ENIGMA TOKEN,Honeypot,BSC,
1388,Golden Pig Moon,Honeypot,ETH,
1389,TasteNFT,Honeypot,ETH,
1390,MulletCoinClub,Honeypot,BSC,
1391,VAVAToken,Honeypot,BSC,
1392,SAFEMOONSWAP,Honeypot,ETH,
1393,Maxxi Protocol,Honeypot,BSC,
1394,INUSWAP,Honeypot,ETH,
1395,KISHUSWAP,Honeypot,ETH,
1396,CHOWINU,Honeypot,ETH,
1397,FOX TOKEN,Honeypot,BSC,
1398,MoonBois,Honeypot,BSC,
1399,FLOWER TOKEN,Honeypot,BSC,
1400,ARGOAPP,Honeypot,BSC,
1401,Nafter,Honeypot,BSC,
1402,WATER TOKEN,Honeypot,BSC,
1403,Nafter,Honeypot,BSC,
1404,RUBY,Honeypot,BSC,
1405,Glitch-Finance,Honeypot,BSC,
1406,ShinyDoge,Honeypot,BSC,
1407,SEA TOKEN,Honeypot,BSC,
1408,Patrigio,Honeypot,BSC,
1409,LILDOG,Honeypot,BSC,
1410,Cheetah Coin,Honeypot,ETH,
1411,BEAR TOKEN,Honeypot,BSC,
1412,WEED TOKEN,Honeypot,BSC,
1413,PABLO FINANCE,Honeypot,BSC,
1414,Chubby Akita,Honeypot,BSC,
1415,$FUCKELON,Honeypot,BSC,
1416,DogelonMars,Honeypot,BSC,
1417,Ultra Safe,Honeypot,BSC,
1418,SpaceXDoge,Honeypot,BSC,
1419,PangeaOceanCleaunUp,Honeypot,BSC,
1420,WeSpace,Honeypot,BSC,
1421,Protocol.fractal.id,Honeypot,ETH,
1422,FUN TOKEN,Honeypot,BSC,
1423,Capellix,Honeypot,BSC,
1424,Chava,Honeypot,BSC,
1425,FUCK ELON,Honeypot,BSC,
1426,GoldenEsse,Honeypot,BSC,
1427,Laugh Out Loud,Honeypot,BSC,
1428,TheRealKabosu,Honeypot,ETH,
1429,NoNameNetworks,Honeypot,BSC,
1430,DoucheCoin,Honeypot,BSC,
1431,THANKS ELON,Honeypot,BSC,
1432,TRUE Token,Honeypot,BSC,
1433,ROCKETMARS,Honeypot,BSC,
1434,Vitalik Buterin,Honeypot,ETH,
1435,ElonSpace BSC,Honeypot,BSC,
1436,TESLA,Honeypot,BSC,
1437,Vitalik Shiba Buterin,Honeypot,ETH,
1438,EITHERMOON,Honeypot,BSC,
1439,FORESTTOKEN,Honeypot,BSC,
1440,PLUTO,Honeypot,BSC,
1441,GWEIMOON,Honeypot,BSC,
1442,BaTorrent,Honeypot,BSC,
1443,safejembut,Honeypot,BSC,
1444,holdxrp,Honeypot,BSC,
1445,SWATSWAP,Honeypot,BSC,
1446,SafeSpin Token,Honeypot,BSC,
1447,SafeMoonz,Honeypot,BSC,
1448,MoonSHIBA,Honeypot,BSC,
1449,HashStandart,Honeypot,BSC,
1450,CrispToken,Honeypot,BSC,
1451,Real RealExchange,Honeypot,BSC,
1452,SAFEPAY,Honeypot,BSC,
1453,PunkHats,Honeypot,BSC,
1454,SafeFinance,Honeypot,BSC,
1455,Safeenergy,Honeypot,BSC,
1456,DoubleFinance,Honeypot,BSC,
1457,PortableChain,Honeypot,BSC,
1458,Survival Swap Token,Honeypot,BSC,
1459,Evergreen,Honeypot,BSC,
1460,SafeMeta,Honeypot,BSC,
1461,SafeSolace Token,Honeypot,BSC,
1462,SafePlay Token,Honeypot,BSC,
1463,Delta Financial,Honeypot,ETH,
1464,MerchDAO,Honeypot,ETH,
1465,ELONMARS,Honeypot,BSC,
1466,PESO NETWORK,Honeypot,BSC,
1467,PESO NETWORK,Honeypot,BSC,
1468,DINAR PROTOCOL,Honeypot,BSC,
1469,SAFESATURN,Honeypot,BSC,
1470,supershiba,Honeypot,BSC,
1471,Cartoon Network,Honeypot,ETH,
1472,Atmosphere,Honeypot,BSC,
1473,Safe Sex,Honeypot,ETH,
1474,Monkey Island,Honeypot,ETH,
1475,UnoRe,Honeypot,ETH,
1476,Smiley Face,Honeypot,ETH,
1477,Alphr Finance,Honeypot,ETH,
1478,Kurilian Protocol,Honeypot,ETH,
1479,German Shepherd,Honeypot,ETH,
1480,MOONDUST?,Honeypot,ETH,
1481,ElonMuskrat,Honeypot,ETH,
1482,Green Energy Tesla,Honeypot,ETH,
1483,1MILNFT,Honeypot,ETH,
1484,Giant Panda Token,Honeypot,ETH,
1485,GreenLonMusk,Honeypot,ETH,
1486,MarsBank,Honeypot,ETH,
1487,Full Moon,Honeypot,ETH,
1488,Time Dilation,Honeypot,BSC,
1489,BitMusk,Honeypot,ETH,
1490,Yolo Token,Honeypot,BSC,
1491,Elon SpaceEX,Honeypot,ETH,
1492,PURECOIN?,Honeypot,BSC,
1493,Electric Car Tesla,Honeypot,ETH,
1494,Moon Cat,Honeypot,ETH,
1495,Aichi Inu,Honeypot,BSC,
1496,Shiga Inu,Honeypot,BSC,
1497,InfinityDoge,Honeypot,BSC,
1498,Sienna Network,Honeypot,ETH,
1499,Elon Musk Moon Token,Honeypot,ETH,
1500,Big Chungus,Honeypot,ETH,
1501,MEGAMOON,Honeypot,BSC,
1502,BSCBOOM,Honeypot,BSC,
1503,StackOS,Honeypot,ETH,
1504,Slow Loris Token,Honeypot,BSC,
1505,Puppy Token,Honeypot,ETH,
1506,Psycho Inu,Honeypot,ETH,
1507,Hord.App,Honeypot,ETH,
1508,Jigstack.org,Honeypot,ETH,
1509,Shibazilla,Honeypot,ETH,
1510,CUMROCKET CRYPTO,Honeypot,BSC,
1511,Treasure Box,Honeypot,ETH,
1512,Quark,Honeypot,BSC,
1513,ULTRADOGE,Honeypot,ETH,
1514,Digital Reserve Currency,Honeypot,ETH,
1515,Kitten.finance,Honeypot,ETH,
1516,FairDoge,Honeypot,BSC,
1517,JUMPFROG,Honeypot,BSC,
1518,Puffins Paradise,Honeypot,ETH,
1519,Snoop Doge,Honeypot,ETH,
1520,SAFESHITCOIN,Honeypot,BSC,
1521,eBITScan.finance,Honeypot,BSC,
1522,PALM - yieldbay.finance,Honeypot,BSC,
1523,GOLDMind.finance,Honeypot,BSC,
1524,RocketDoge,Honeypot,BSC,
1525,Chicken Soup Protocol,Honeypot,ETH,
1526,Meme Coin,Honeypot,ETH,
1527,Penguins Sanctuary,Honeypot,ETH,
1528,Kleeka Inu,Honeypot,BSC,
1529,Yuki Inu Token,Honeypot,ETH,
1530,Dragon Li Token,Honeypot,ETH,
1531,Poki Token,Honeypot,ETH,
1532,doremiland.info,Honeypot,BSC,
1533,JiX Swap,Honeypot,ETH,
1534,Melalie,Honeypot,ETH,
1535,Ergosphere,Honeypot,BSC,
1536,Gorillaz Sunshine,Honeypot,ETH,
1537,Gecko Token,Honeypot,ETH,
1538,Fish Tank,Honeypot,ETH,
1539,Crazy Kitty,Honeypot,ETH,
1540,Busy,Honeypot,ETH,
1541,MoonWhale,Honeypot,BSC,
1542,MOONMARS,Honeypot,BSC,
1543,Golden Goose Token,Honeypot,ETH,
1544,Quantum Tunneling,Honeypot,BSC,
1545,CUTECAT,Honeypot,BSC,
1546,Refinable,Honeypot,ETH,
1547,Benqi Finance,Honeypot,ETH,
1548,moonpirate,Honeypot,BSC,
1549,DogeDAO,Honeypot,BSC,
1550,MOONINVADOR,Honeypot,BSC,
1551,Rocket Inu,Honeypot,ETH,
1552,Event Horizon,Honeypot,BSC,
1553,Banshee Token,Honeypot,ETH,
1554,Spitz Inu Token,Honeypot,ETH,
1555,Golden Inu Token,Honeypot,ETH,
1556,SafeRocket✨,Honeypot,BSC,
1557,MOAR Finance,Honeypot,ETH,
1558,Kyushu Inu,Honeypot,ETH,
1559,Malamute Token,Honeypot,ETH,
1560,MOMAFINANCE,Honeypot,BSC,
1561,ASTIR,Honeypot,BSC,
1562,Doge&amp;Shiba,Honeypot,BSC,
1563,Yet Another Dog Coin,Honeypot,ETH,
1564,WINE TOKEN,Honeypot,BSC,
1565,AstroPig,Honeypot,BSC,
1566,EAGLE,Honeypot,BSC,
1567,SHIBAFARM,Honeypot,ETH,
1568,CHINESE,Honeypot,BSC,
1569,Chromance,Honeypot,BSC,
1570,Whisky Token,Honeypot,BSC,
1571,Windswap,Honeypot,BSC,
1572,MoonKind,Honeypot,BSC,
1573,FUCK ENVIRONMENT,Honeypot,BSC,
1574,Up DeFi,Honeypot,ETH,
1575,Glossify,Honeypot,BSC,
1576,TRUMP 2024,Honeypot,BSC,
1577,KingShiba,Honeypot,BSC,
1578,SolarRocket,Honeypot,BSC,
1579,Lucky Token,Honeypot,BSC,
1580,DogeMissile,Honeypot,BSC,
1581,NOZOMI,Honeypot,BSC,
1582,DOORToken,Honeypot,BSC,
1583,Shiba Inu Shih Tzu,Honeypot,BSC,
1584,HungryWorldBSC,Honeypot,BSC,
1585,Caterpie Finance,Honeypot,BSC,
1586,t.me/DickBootyBSC,Honeypot,BSC,
1587,Garfield Token,Honeypot,BSC,
1588,SAD CAT,Honeypot,BSC,
1589,SHINKY,Honeypot,BSC,
1590,Bingo Inu,Honeypot,ETH,
1591,Ether Shiba,Honeypot,ETH,
1592,KingAkita,Honeypot,BSC,
1593,t.me/astracoincommunity,Honeypot,BSC,
1594,KNIGHT RIDER,Honeypot,BSC,
1595,BEER COIN,Honeypot,BSC,
1596,BITCOIN CONSUMPTION,Honeypot,BSC,
1597,BEE TOKEN,Honeypot,BSC,
1598,DOGE 2.0,Honeypot,BSC,
1599,CVL,Honeypot,BSC,
1600,SafeFarm,Honeypot,BSC,
1601,SafeStorm,Honeypot,BSC,
1602,CryptonDUCK,Honeypot,BSC,
1603,KRYPTCOIN,Honeypot,BSC,
1604,Deeper Network,Honeypot,BSC,
1605,SAFELOAD,Honeypot,BSC,
1606,birthday token,Honeypot,BSC,
1607,Naturel,Exit Scam,BSC,
1608,Cook Protocol,Honeypot,BSC,
1609,SOLAR,Honeypot,BSC,
1610,SWEETPAY,Honeypot,BSC,
1611,Secret DeFi,Honeypot,ETH,
1612,SAFEQCHAIN,Honeypot,BSC,
1613,SAFEPURSE,Honeypot,BSC,
1614,Zillow,Honeypot,BSC,
1615,SAFEPICK,Honeypot,BSC,
1616,SafeAmerica,Honeypot,BSC,
1617,DoubleChain,Honeypot,BSC,
1618,SHIBAMOON,Honeypot,BSC,
1619,Mia Khalifa,Honeypot,BSC,
1620,AlaskanDoge,Honeypot,BSC,
1621,Winnie-the-Pot,Honeypot,BSC,
1622,LABRADOR,Honeypot,BSC,
1623,SpaceXDoge1,Honeypot,BSC,
1624,QCHAIN,Honeypot,BSC,
1625,HONEYROCKET,Honeypot,BSC,
1626,SafeFire,Honeypot,BSC,
1627,SafePipe,Honeypot,BSC,
1628,Inu Doge,Honeypot,ETH,
1629,BARK CUBAN,Honeypot,ETH,
1630,JizzUs,Honeypot,BSC,
1631,French Shiba,Honeypot,ETH,
1632,SaveFlipper,Honeypot,BSC,
1633,PIDGEY,Honeypot,BSC,
1634,SafeDot,Honeypot,BSC,
1635,Evergreen,Honeypot,BSC,
1636,Solstarter,Honeypot,ETH,
1637,MerchDAO,Honeypot,ETH,
1638,SAFESATURN,Honeypot,BSC,
1639,Kishu Doge Inu,Honeypot,ETH,
1640,InjectiveProtocol,Honeypot,BSC,
1641,victoriavr,Honeypot,BSC,
1642,Binance Fail Chain,Honeypot,BSC,
1643,LORD ELON,Honeypot,BSC,
1644,Sponge Doge,Honeypot,ETH,
1645,The Doge Hunter,Honeypot,ETH,
1646,REAUFINANCE,Honeypot,BSC,
1647,ElonGate,Honeypot,BSC,
1648,CROT Finance,Honeypot,BSC,
1649,XXXRated-NFT,Honeypot,BSC,
1650,Peri Finance,Honeypot,BSC,
1651,Puppy Inu,Honeypot,ETH,
1652,SpaceX Boca Chica,Honeypot,ETH,
1653,SafeVice,Honeypot,BSC,
1654,LinkPool,Honeypot,ETH,
1655,SAFEPAY,Honeypot,BSC,
1656,MEGASAFE,Honeypot,BSC,
1657,Tripod Dao,Honeypot,BSC,
1658,PLUTOO,Honeypot,BSC,
1659,Q DAO Governance token v2.0,Honeypot,BSC,
1660,SafeMiles,Honeypot,BSC,
1661,REFERRALPROJECT.NETWORK,Honeypot,BSC,
1662,SAFESOFA,Honeypot,BSC,
1663,SAFELINK,Honeypot,BSC,
1664,SafeInfinity,Honeypot,BSC,
1665,SafeGorilla,Honeypot,BSC,
1666,SafeMask,Honeypot,BSC,
1667,SafeSafu,Honeypot,BSC,
1668,MoonCAKE Bsc,Honeypot,BSC,
1669,SafeHelix,Honeypot,BSC,
1670,SpaceDEFI,Honeypot,BSC,
1671,AntiSafeToken,Honeypot,BSC,
1672,AntiSafeToken,Honeypot,BSC,
1673,DREAMSWAP,Honeypot,BSC,
1674,KASHI,Honeypot,ETH,
1675,SafeSun,Honeypot,BSC,
1676,ADRENALINE.FINANCE,Honeypot,BSC,
1677,SAFEYFI NETWORK,Honeypot,BSC,
1678,SafeTorn,Honeypot,BSC,
1679,SafeHubble,Honeypot,BSC,
1680,SimpleExchange,Honeypot,BSC,
1681,SafeShield,Honeypot,BSC,
1682,SafeLien,Honeypot,BSC,
1683,autosafe protocol,Honeypot,BSC,
1684,autosafe,Honeypot,BSC,
1685,EXEEDME.FINANCE,Honeypot,BSC,
1686,SafeCell,Honeypot,BSC,
1687,IZOOM.FINANCE,Honeypot,BSC,
1688,External Swap,Honeypot,BSC,
1689,SafePaid,Honeypot,BSC,
1690,xrpmoon,Honeypot,BSC,
1691,SafeStreetBets,Honeypot,BSC,
1692,SafeSpice,Honeypot,BSC,
1693,SafeUp,Honeypot,BSC,
1694,SafeGate,Honeypot,BSC,
1695,SafeWorld,Honeypot,BSC,
1696,Plasm Network,Honeypot,ETH,
1697,Asset Swap,Honeypot,BSC,
1698,MoonDeFi,Honeypot,BSC,
1699,SafeModd,Honeypot,BSC,
1700,SafeSpeed,Honeypot,BSC,
1701,SafeCloud,Honeypot,BSC,
1702,MirrorFinance,Honeypot,BSC,
1703,SafeComet,Honeypot,BSC,
1704,Gundam Finance BSC,Honeypot,BSC,
1705,unimex,Honeypot,BSC,
1706,Rage.fan,Honeypot,ETH,
1707,Worn.Finance,Honeypot,BSC,
1708,BubbaGump,Honeypot,BSC,
1709,SafeMcDc,Honeypot,BSC,
1710,HARDOX PROTOCOL,Honeypot,BSC,
1711,unidog bsc,Honeypot,BSC,
1712,Polkamon.com,Honeypot,ETH,
1713,HedgeDog BSC Finance,Honeypot,BSC,
1714,SafeAndromeda,Honeypot,BSC,
1715,sushibox,Honeypot,BSC,
1716,SecureTheBag,Honeypot,BSC,
1717,SpaceShip,Honeypot,BSC,
1718,DeversiFi Token,Honeypot,ETH,
1719,Lemond Protocol,Honeypot,BSC,
1720,unibox,Honeypot,BSC,
1721,Redshift,Honeypot,BSC,
1722,SafeChain✨,Honeypot,BSC,
1723,Safe Inu,Honeypot,ETH,
1724,KISHU INU,Honeypot,BSC,
1725,Singularity,Honeypot,BSC,
1726,Blowfish Token,Honeypot,ETH,
1727,Australian Safe Shepherd,Honeypot,ETH,
1728,Payship.Finance,Honeypot,ETH,
1729,Bulldog Token,Honeypot,ETH,
1730,ChowChow Token,Honeypot,ETH,
1731,Ursa Major,Honeypot,BSC,
1732,MarsStop,Honeypot,BSC,
1733,Rocket Dog,Honeypot,ETH,
1734,Nova,Honeypot,BSC,
1735,DirtyPig,Honeypot,BSC,
1736,Papillon Token,Honeypot,ETH,
1737,Moon Chow,Honeypot,ETH,
1738,UNIDOG,Honeypot,ETH,
1739,Pug Token,Honeypot,ETH,
1740,Starshot,Honeypot,BSC,
1741,Big Cheese Token,Honeypot,ETH,
1742,Dehive.finance,Honeypot,ETH,
1743,Xend.finance,Honeypot,ETH,
1744,Coordinape,Honeypot,ETH,
1745,Plethori,Honeypot,ETH,
1746,unifarm.co,Honeypot,ETH,
1747,Rocket Cat,Honeypot,ETH,
1748,Comet,Honeypot,BSC,
1749,Magnet Attraction,Honeypot,BSC,
1750,Gorillaz Sanctuary,Honeypot,ETH,
1751,Andromeda,Honeypot,BSC,
1752,Moon Send,Honeypot,BSC,
1753,Collapsar,Honeypot,BSC,
1754,FireBunny,Honeypot,BSC,
1755,Hound Token,Honeypot,ETH,
1756,Dogzilla,Honeypot,ETH,
1757,Gamma Ray Burst,Honeypot,BSC,
1758,Asac Coin Finance Token,Honeypot,ETH,
1759,Husky Token,Honeypot,ETH,
1760,Lucky Charm,Honeypot,BSC,
1761,Polkadomain Token,Honeypot,ETH,
1762,Einstein Rosen Bridge,Honeypot,BSC,
1763,Dragon Burn Token,Honeypot,BSC,
1764,TeslaCoin,Honeypot,BSC,
1765,DOGEUP 100X,Honeypot,BSC,
1766,Snow,Honeypot,BSC,
1767,Majestic Deer,Honeypot,BSC,
1768,Golden Litchi Finance,Honeypot,BSC,
1769,We Want a 1000XPump,Honeypot,BSC,
1770,www.SafePussy.tech,Honeypot,BSC,
1771,SAFESHIBA,Honeypot,BSC,
1772,MOONCALENDA,Honeypot,BSC,
1773,Disbalancer,Honeypot,ETH,
1774,PigMOON,Honeypot,BSC,
1775,CYCLOPS FINANCE TREASURE,Honeypot,ETH,
1776,WinMoon Token,Honeypot,BSC,
1777,Adastarter,Honeypot,ETH,
1778,Lunar Eclipse,Honeypot,BSC,
1779,Volcano,Honeypot,BSC,
1780,SAFEBIRD,Honeypot,BSC,
1781,Saito,Honeypot,ETH,
1782,ApeOnly,Honeypot,ETH,
1783,Mechadog,Honeypot,ETH,
1784,MoonWait,Honeypot,BSC,
1785,OccamFi,Honeypot,ETH,
1786,MOONBERRY,Honeypot,BSC,
1787,Mina Protocol,Honeypot,ETH,
1788,BUHO TOKEN,Honeypot,BSC,
1789,Icy Comet,Honeypot,BSC,
1790,icecreamland.org,Honeypot,BSC,
1791,HibikiTokyo,Honeypot,BSC,
1792,Apron Network,Honeypot,ETH,
1793,LURNA,Honeypot,BSC,
1794,HellGate,Honeypot,BSC,
1795,delta.theta,Honeypot,BSC,
1796,Dogelon,Honeypot,BSC,
1797,The Internet Computer,Honeypot,ETH,
1798,Crot Finance,Honeypot,BSC,
1799,NOZOMI COIN,Honeypot,BSC,
1800,EchoX,Honeypot,BSC,
1801,ChickenCoin,Honeypot,BSC,
1802,HungryApes,Honeypot,BSC,
1803,SafeShib,Honeypot,ETH,
1804,Everest,Honeypot,BSC,
1805,Kitty Token,Honeypot,ETH,
1806,Gelato.network,Honeypot,ETH,
1807,DOGE SNL,Honeypot,BSC,
1808,SaintElon,Honeypot,BSC,
1809,XSPACE,Honeypot,BSC,
1810,MILEY&amp;MUSK,Honeypot,ETH,
1811,Maple,Honeypot,BSC,
1812,SaintElon,Honeypot,BSC,
1813,Strike Protocol,Honeypot,BSC,
1814,SafeGalaxy,Honeypot,BSC,
1815,WAKANDATOKEN,Honeypot,BSC,
1816,Mozik.cc,Honeypot,ETH,
1817,Saturna,Honeypot,BSC,
1818,Diamond Hands Elon,Honeypot,ETH,
1819,LevelUpX,Honeypot,BSC,
1820,ELON SNL,Honeypot,BSC,
1821,VISERION,Honeypot,BSC,
1822,INTERGALACTIC,Honeypot,BSC,
1823,Meow Moon Cat,Honeypot,ETH,
1824,Wilder World,Honeypot,ETH,
1825,RUBYTOKEN,Honeypot,BSC,
1826,Verifiably,Honeypot,BSC,
1827,KingCZ,Honeypot,BSC,
1828,Dragon.Swap,Honeypot,BSC,
1829,TheCatToken.com,Honeypot,BSC,
1830,ELON MOONSHIP,Honeypot,BSC,
1831,Bulldoge,Honeypot,BSC,
1832,Ispolink Token,Honeypot,ETH,
1833,Oiler Network,Honeypot,ETH,
1834,aardvarX,Honeypot,BSC,
1835,Anchor Protocol,Honeypot,BSC,
1836,CargoX,Honeypot,BSC,
1837,MASKSWAP,Honeypot,BSC,
1838,Rocket Doge,Honeypot,BSC,
1839,Sienna (ERC20),Honeypot,ETH,
1840,RocketElon,Honeypot,BSC,
1841,MOON SURGE,Honeypot,BSC,
1842,d-fund.io,Honeypot,ETH,
1843,MoonVAPE,Honeypot,ETH,
1844,Tokocrypto,Honeypot,ETH,
1845,Wasder.gg,Honeypot,ETH,
1846,Luminescence,Honeypot,BSC,
1847,EternityProtcol,Honeypot,BSC,
1848,Arbitrade,Honeypot,BSC,
1849,HYDRA,Honeypot,BSC,
1850,DogeWars,Honeypot,BSC,
1851,GOOD BOY,Honeypot,BSC,
1852,Starlink Mission Mars,Honeypot,ETH,
1853,FLY,Honeypot,BSC,
1854,Toxify,Honeypot,BSC,
1855,ELON ORBIT,Honeypot,BSC,
1856,SpaceShuttle,Honeypot,BSC,
1857,Moon Lambo,Honeypot,ETH,
1858,DEFIX,Honeypot,BSC,
1859,kingofgame,Honeypot,BSC,
1860,GREENTRUST,Honeypot,BSC,
1861,TAXITOKEN,Honeypot,BSC,
1862,Muskdoge,Honeypot,ETH,
1863,TradeStars,Honeypot,ETH,
1864,Falcon 9 SpaceX Token,Honeypot,ETH,
1865,Skem.finance,Honeypot,ETH,
1866,Mercurial Finance,Honeypot,ETH,
1867,Elon Dark Web,Honeypot,ETH,
1868,Infinity Protocol,Honeypot,ETH,
1869,DeFiner,Honeypot,BSC,
1870,Corgi Coin,Honeypot,ETH,
1871,EARTHBOYS,Honeypot,BSC,
1872,GREEN,Honeypot,BSC,
1873,TheMountain,Honeypot,BSC,
1874,Meebits,Honeypot,ETH,
1875,SpaceX Network,Honeypot,ETH,
1876,Tibetan Mastiff Protocol,Honeypot,ETH,
1877,Toppu Inu,Honeypot,ETH,
1878,Callisto Network,Honeypot,BSC,
1879,Fundamenta,Honeypot,ETH,
1880,NyanCat,Honeypot,BSC,
